Operadora;Nível de satisfação
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Baixo
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Médio
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Total Health;Alto
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Baixo
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Médio
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Viva Vida;Alto
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Baixo
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Médio
Mena Saúde;Alto
Mena Saúde;Alto
Mena Saúde;Alto
Mena Saúde;Alto
